nm top,QE top,nm middle,QE middle,nm bottom,QE bottom
399.8,0.67793,572.98,0.023078,868.53,0.11285
400.06,0.67838,573.23,0.023137,868.78,0.11462
400.32,0.67882,573.49,0.023197,869.02,0.11632
400.59,0.67928,573.75,0.023258,869.27,0.11809
400.85,0.67973,574.01,0.023318,869.52,0.11985
401.11,0.68017,574.27,0.023379,869.76,0.12155
401.38,0.68063,574.52,0.023437,870.01,0.12332
401.64,0.68108,574.78,0.023498,870.26,0.12509
401.9,0.68152,575.04,0.023558,870.5,0.12679
402.17,0.68198,575.3,0.023619,870.75,0.12856
402.43,0.68243,575.56,0.02368,871,0.13032
402.69,0.68287,575.81,0.023738,871.24,0.13202
402.96,0.68333,576.07,0.023798,871.49,0.13379
403.22,0.68378,576.33,0.023859,871.74,0.13556
403.48,0.68422,576.59,0.02392,871.99,0.13733
403.75,0.68468,576.84,0.023978,872.23,0.13902
404.01,0.68513,577.1,0.024038,872.48,0.14079
404.28,0.68559,577.36,0.024099,872.73,0.14256
404.54,0.68603,577.62,0.02416,872.97,0.14426
404.8,0.68648,577.88,0.02422,873.22,0.14603
405.07,0.68694,578.13,0.024279,873.47,0.1478
405.33,0.68738,578.39,0.024339,873.71,0.14949
405.59,0.68783,578.65,0.0244,873.96,0.15126
405.86,0.68829,578.91,0.02446,874.21,0.15303
406.12,0.68873,579.17,0.024521,874.45,0.15473
406.38,0.68918,579.42,0.024579,874.7,0.1565
406.65,0.68964,579.68,0.02464,874.95,0.15827
406.91,0.69008,579.94,0.0247,875.19,0.15996
407.17,0.69053,580.2,0.024761,875.44,0.16173
407.44,0.69099,580.45,0.024819,875.69,0.1635
407.7,0.69143,580.71,0.02488,875.93,0.1652
407.96,0.69188,580.97,0.02494,876.18,0.16697
408.23,0.69234,581.23,0.025003,876.43,0.16873
408.49,0.69278,581.48,0.025184,876.67,0.17043
408.75,0.69323,581.74,0.025372,876.92,0.1722
409.02,0.69372,582,0.02556,877.17,0.17397
409.28,0.69421,582.26,0.025748,877.41,0.17567
409.54,0.69469,582.52,0.025936,877.66,0.17744
409.81,0.69519,582.77,0.026117,877.91,0.1792
410.07,0.69568,583.03,0.026305,878.15,0.1809
410.33,0.69616,583.29,0.026493,878.4,0.18267
410.6,0.69667,583.55,0.026681,878.65,0.18444
410.86,0.69715,583.8,0.026861,878.89,0.18614
411.12,0.69764,584.06,0.027049,879.14,0.1879
411.38,0.69812,584.32,0.027237,879.39,0.18967
411.65,0.69862,584.58,0.027425,879.63,0.19137
411.91,0.69911,584.83,0.027606,879.88,0.19623
412.17,0.69959,585.09,0.027794,880.13,0.20293
412.44,0.7001,585.35,0.027982,880.37,0.20937
412.7,0.70058,585.61,0.02817,880.62,0.21608
412.96,0.70107,585.86,0.028351,880.87,0.22278
413.23,0.70157,586.12,0.028539,881.11,0.22922
413.49,0.70205,586.38,0.028727,881.36,0.23592
413.75,0.70254,586.64,0.028915,881.61,0.24263
414.02,0.70304,586.89,0.029096,881.85,0.24907
414.28,0.70353,587.15,0.029284,882.1,0.25577
414.54,0.70401,587.41,0.029472,882.34,0.26221
414.81,0.70451,587.67,0.02966,882.59,0.26891
415.07,0.705,587.92,0.029841,882.84,0.27562
415.33,0.70548,588.18,0.030029,883.08,0.28205
415.6,0.70599,588.44,0.030217,883.33,0.28876
415.86,0.70647,588.7,0.030405,883.58,0.29546
416.12,0.70696,588.95,0.030586,883.82,0.3019
416.38,0.70744,589.21,0.030774,884.07,0.30861
416.65,0.70795,589.47,0.030962,884.32,0.31531
416.91,0.70843,589.73,0.03115,884.56,0.32175
417.17,0.70891,589.98,0.031331,884.81,0.32845
417.44,0.70942,590.24,0.031519,885.05,0.33489
417.7,0.7099,590.5,0.031707,885.3,0.3416
417.96,0.71039,590.76,0.031895,885.55,0.3483
418.23,0.71089,591.01,0.032076,885.79,0.35474
418.49,0.71138,591.27,0.032264,886.04,0.36144
418.75,0.71186,591.53,0.032452,886.29,0.36815
419.01,0.71234,591.79,0.03264,886.53,0.37459
419.28,0.71285,592.04,0.03282,886.78,0.38129
419.54,0.71333,592.3,0.033009,887.03,0.388
419.8,0.71352,592.56,0.033197,887.27,0.39443
420.07,0.71372,592.81,0.033377,887.52,0.40114
420.33,0.71391,593.07,0.033565,887.76,0.40757
420.59,0.71409,593.33,0.033753,888.01,0.41428
420.86,0.71429,593.59,0.033941,888.26,0.42098
421.12,0.71448,593.84,0.034122,888.5,0.42742
421.38,0.71467,594.1,0.03431,888.75,0.43413
421.64,0.71486,594.36,0.034498,888.99,0.44056
421.91,0.71505,594.62,0.034686,889.24,0.44727
422.17,0.71524,594.87,0.034867,889.49,0.45397
422.43,0.71543,595.13,0.035055,889.73,0.46041
422.7,0.71562,595.39,0.035243,889.98,0.46712
422.96,0.71581,595.64,0.035424,890.23,0.47382
423.22,0.716,595.9,0.035612,890.47,0.48026
423.48,0.71619,596.16,0.0358,890.72,0.48696
423.75,0.71639,596.42,0.035988,890.96,0.4934
424.01,0.71657,596.67,0.036169,891.21,0.5001
424.27,0.71676,596.93,0.036357,891.46,0.50681
424.54,0.71696,597.19,0.036545,891.7,0.51325
424.8,0.71715,597.44,0.036726,891.95,0.51995
425.06,0.71734,597.7,0.036914,892.19,0.52639
425.32,0.71752,597.96,0.037102,892.44,0.53309
425.59,0.71772,598.22,0.03729,892.69,0.5398
425.85,0.71791,598.47,0.037471,892.93,0.54624
426.11,0.7181,598.73,0.037659,893.18,0.55294
426.38,0.71829,598.99,0.037847,893.42,0.55938
426.64,0.71848,599.24,0.038027,893.67,0.56608
426.9,0.71867,599.5,0.038215,893.92,0.57279
427.16,0.71886,599.76,0.038433,894.16,0.57923
427.43,0.71905,600.02,0.038676,894.41,0.58593
