,lon,lat,distance,rho_wind,rho_radiation
1227,-5.7,66.3,1993.4740759621805,0.13173264144353472,0.7591541277041233
1228,-5.7,66.9,2057.3598048368785,0.1336913078860705,0.7554935132598077
1229,-5.7,67.5,2121.430585410656,0.14336799440349232,0.7526040470670555
1230,-5.7,68.1,2185.670496878348,0.1424445698642871,0.7551086886461933
1231,-5.7,68.7,2250.0653810341905,0.14484942945097803,0.7552240120002318
1232,-5.7,69.3,2314.6026073557787,0.15851489958706444,0.7504904142092307
1233,-5.7,69.9,2379.270873934081,0.1653198212723759,0.7460422199312673
1234,-5.7,70.5,2444.060038156934,0.16149546333194179,0.7467703171354414
1235,-5.7,71.1,2508.960972182959,0.1507283315024251,0.7421841234336368
1236,-5.1,32.7,1904.7720579023858,0.016064710617183717,0.8357515339589917
1237,-5.1,33.3,1841.2329003870152,0.03710146067744971,0.8391792239200085
1238,-5.1,33.9,1777.90104188338,0.015513237609896233,0.8459872628172508
1239,-5.1,34.5,1714.8001588240854,-0.03812202688580372,0.8488963546046115
1240,-5.1,35.1,1651.9574659976504,0.014266471221801816,0.852853546464601
1241,-5.1,35.7,1589.4043761888722,-0.08116409264814083,0.8532187113745172
1242,-5.1,36.3,1527.17730654835,-0.0596151384735153,0.8566599453421077
1243,-5.1,36.9,1465.3186690075888,-0.03530296330747553,0.8543179074005528
1244,-5.1,37.5,1403.8780924143718,0.04466148508268419,0.8551082057538911
