nm,QE
499.1,0.84642
499.36,0.84683
499.62,0.84717
499.88,0.84751
500.14,0.84785
500.4,0.84819
500.66,0.84853
500.92,0.84887
501.18,0.84921
501.44,0.84955
501.7,0.84989
501.96,0.85022
502.22,0.85056
502.49,0.85092
502.75,0.85126
503.01,0.85159
503.27,0.85193
503.53,0.85227
503.79,0.85261
504.05,0.85295
504.31,0.85329
504.57,0.85363
504.83,0.85397
505.09,0.85431
505.35,0.85465
505.61,0.85499
505.87,0.85533
506.13,0.85567
506.39,0.85601
506.65,0.85634
506.91,0.85667
507.17,0.85674
507.43,0.85681
507.69,0.85688
507.95,0.85695
508.21,0.85702
508.47,0.85709
508.73,0.85717
508.99,0.85724
509.25,0.85731
509.51,0.85738
509.77,0.85745
510.03,0.85752
510.29,0.85759
510.55,0.85766
510.81,0.85773
511.07,0.8578
511.33,0.85787
511.59,0.85794
511.85,0.85801
512.11,0.85808
512.37,0.85815
512.63,0.85823
512.89,0.8583
513.15,0.85837
513.41,0.85844
513.67,0.85851
513.93,0.85858
514.19,0.85865
514.45,0.85872
514.71,0.85879
514.97,0.85886
515.23,0.85893
515.49,0.859
515.75,0.85907
516.01,0.85914
516.27,0.85922
516.53,0.85929
516.79,0.85936
517.05,0.85943
517.31,0.8595
517.57,0.85957
517.83,0.85964
518.09,0.85971
518.35,0.85978
518.61,0.85985
518.87,0.85992
519.13,0.85999
519.39,0.86
519.65,0.86
519.91,0.86
520.17,0.86
520.43,0.86
520.69,0.86
520.95,0.86
521.21,0.86
521.47,0.86
521.73,0.86
521.99,0.86
522.25,0.86
522.5,0.86
522.76,0.86
523.02,0.86
523.28,0.86
523.54,0.86
523.8,0.86
524.06,0.86
524.32,0.86
524.58,0.86
524.84,0.86
525.1,0.86
525.36,0.86
525.62,0.86
525.88,0.86
526.14,0.86
526.4,0.86
526.66,0.86
526.92,0.86
527.18,0.86
527.44,0.86
527.7,0.86
527.96,0.86
528.22,0.86
528.48,0.85996
528.73,0.85988
528.99,0.8598
529.25,0.85972
529.51,0.85964
529.77,0.85956
530.03,0.85948
530.29,0.8594
530.55,0.85932
530.81,0.85924
531.07,0.85916
531.33,0.85907
531.59,0.85899
531.85,0.85891
532.11,0.85883
532.37,0.85875
532.63,0.85867
532.88,0.85859
533.14,0.85851
533.4,0.85843
533.66,0.85835
533.92,0.85827
534.18,0.85819
534.44,0.85811
534.7,0.85803
534.96,0.85795
535.22,0.85787
535.48,0.85779
535.74,0.8577
536,0.85762
536.26,0.85754
536.51,0.85747
536.77,0.85738
537.03,0.8573
537.29,0.85722
537.55,0.85714
537.81,0.85706
538.07,0.85698
538.33,0.8569
538.59,0.85682
