wavelength (nm),Xe arc lamp (W*m-2*nm-1)
468.36597,0.91676
468.58823,0.89376
468.81052,0.87388
469.03278,0.86004
469.2551,0.85432
469.47739,0.85756
469.69971,0.86636
469.92206,0.87236
470.14441,0.87348
470.36676,0.87312
470.58914,0.86936
470.81155,0.86344
471.03397,0.85664
471.25638,0.84928
471.47882,0.84336
471.70126,0.83784
471.92374,0.83296
472.14621,0.82952
472.36868,0.82616
472.59119,0.82324
472.81372,0.82016
473.03625,0.81612
473.25879,0.81108
473.48135,0.80424
473.70392,0.79128
473.92651,0.76948
474.14911,0.74444
474.37173,0.72396
474.59436,0.70896
474.81699,0.69712
475.03964,0.68852
475.26233,0.68328
475.48502,0.68072
475.7077,0.6778
475.93042,0.6746
476.15314,0.67284
476.37588,0.67216
476.59863,0.67344
476.82141,0.67756
477.04419,0.68392
477.26697,0.69132
477.48978,0.7006
477.71262,0.709
477.93542,0.71796
478.15829,0.72604
478.38113,0.73232
478.60403,0.73528
478.8269,0.73736
479.0498,0.74116
479.27274,0.74808
479.49567,0.75672
479.7186,0.76364
479.94156,0.76848
480.16455,0.77396
480.38754,0.77752
480.61053,0.77948
480.83353,0.7814
481.05658,0.78036
481.2796,0.7764
481.50266,0.76928
481.72574,0.7604
481.94882,0.74992
482.17191,0.73956
482.39502,0.7298
482.61813,0.72116
482.84128,0.7146
483.06442,0.71004
483.2876,0.7062
483.51077,0.70032
483.73395,0.69124
483.95715,0.6818
484.18039,0.67304
484.40363,0.6648
484.62686,0.65812
484.85013,0.6528
485.07339,0.64772
485.29669,0.64152
485.51999,0.63636
485.74329,0.63284
485.96661,0.62972
486.18997,0.62688
486.4133,0.62548
486.63669,0.62528
486.86008,0.62512
487.08347,0.6246
487.30685,0.6254
487.5303,0.6268
487.75372,0.63024
487.97717,0.63596
488.20065,0.64568
488.4241,0.65572
488.64761,0.66492
488.87109,0.67512
489.09463,0.68344
489.31815,0.68992
489.54169,0.69516
489.76526,0.7014
489.98883,0.70656
490.2124,0.70904
490.436,0.70944
490.65964,0.71124
490.88324,0.71476
491.1069,0.71624
491.33054,0.71708
491.5542,0.71828
491.77789,0.7186
492.00159,0.71748
492.22528,0.71432
492.44901,0.70896
492.67273,0.7008
492.89648,0.69172
493.12024,0.68308
493.34402,0.6744
493.56781,0.66768
493.79163,0.66212
494.01544,0.65864
494.23926,0.65468
494.4631,0.65052
494.68695,0.648
494.91083,0.6486
495.1347,0.64772
495.35861,0.64524
495.58252,0.64456
495.80643,0.64276
496.03037,0.64148
496.2543,0.64096
496.47827,0.64128
496.70224,0.64168
496.92624,0.64256
497.15024,0.64312
497.37427,0.64444
497.5983,0.64504
497.82233,0.64392
498.04639,0.64164
498.27048,0.6412
498.49454,0.64176
498.71863,0.64212
498.94275,0.64396
499.16687,0.64652
499.39102,0.64792
499.61517,0.64852
499.83932,0.65056
500.06351,0.65056
500.28769,0.6524
500.5119,0.6554
500.73611,0.65868
500.96036,0.66152
501.1846,0.6634
501.40884,0.66412
501.63312,0.66508
501.85739,0.66544
502.0817,0.66668
502.306,0.6686
502.53033,0.6712
502.75467,0.67276
502.97903,0.674
503.2034,0.67516
503.42776,0.67608
503.65216,0.67644
503.87656,0.6764
504.10098,0.67632
504.32541,0.67508
504.54984,0.67552
504.77429,0.67584
504.99878,0.67516
505.22327,0.67528
505.44775,0.67528
505.67227,0.67612
505.89679,0.677
506.12134,0.67772
506.34589,0.679
506.57043,0.68052
506.79501,0.68192
507.01959,0.682
507.2442,0.6822
507.46881,0.68284
507.69345,0.683
507.91809,0.68312
508.14276,0.68432
508.36743,0.68492
508.5921,0.68668
508.8168,0.68952
509.0415,0.69156
509.26624,0.69236
509.49097,0.6928
509.71573,0.6912
509.94049,0.69048
510.16525,0.6896
510.39005,0.6902
510.61484,0.6912
510.83966,0.69084
511.06448,0.69004
511.28934,0.68904
511.51419,0.68828
511.73904,0.68756
511.96393,0.68736
512.18884,0.68844
512.41376,0.68936
512.63867,0.68696
512.86359,0.68564
513.0885,0.68448
513.31348,0.68152
513.53845,0.67952
513.76343,0.67912
513.98846,0.67828
514.21344,0.67884
514.43848,0.67888
514.66351,0.67928
514.88855,0.67984
515.11365,0.6788
515.33875,0.67684
515.56378,0.674
515.78894,0.67212
516.01404,0.6728
516.23914,0.6738
516.46429,0.67268
516.68945,0.66976
516.91461,0.66708
517.13983,0.66664
517.36499,0.6668
517.59021,0.6654
517.81543,0.66328
518.04065,0.66196
518.26593,0.6604
518.49121,0.65888
518.71649,0.6568
518.94177,0.65508
519.16705,0.65364
519.39233,0.6514
519.61768,0.64992
519.84302,0.6508
520.06836,0.65344
520.29376,0.65548
520.5191,0.65436
520.74451,0.65212
520.96991,0.65088
521.19531,0.65028
521.42078,0.65004
521.64624,0.6508
521.8717,0.65136
522.09717,0.65192
522.32263,0.653
522.5481,0.65404
522.77362,0.65432
522.99915,0.65472
523.22467,0.65292
523.45026,0.65136
523.67578,0.64884
523.90137,0.64748
524.12695,0.64712
524.35254,0.64668
524.57819,0.64588
524.80377,0.64592
525.02942,0.64676
525.25507,0.64812
525.48077,0.64712
525.70642,0.6458
525.93213,0.64416
526.15784,0.6406
526.38354,0.639
526.60925,0.6392
526.83502,0.63808
527.06079,0.63816
527.28656,0.63928
527.51233,0.63944
527.7381,0.6402
527.96393,0.64016
528.18976,0.64224
528.41559,0.64344
528.64142,0.64448
528.86731,0.6454
529.09314,0.64528
529.31903,0.64392
529.54492,0.64372
529.77087,0.64288
529.99677,0.64404
530.22272,0.64664
530.44867,0.649
530.67462,0.652
530.90057,0.65044
531.12659,0.64896
531.3526,0.65008
531.57861,0.64912
531.80463,0.648
532.03064,0.64724
532.25671,0.64892
532.48279,0.6526
532.70886,0.65436
532.93494,0.65432
533.16107,0.65244
533.38715,0.6498
533.61328,0.64912
533.83942,0.6488
534.06561,0.64724
534.29175,0.64652
534.51794,0.6472
534.74414,0.64788
534.97034,0.64828
535.19653,0.64904
535.42279,0.65196
535.64905,0.65392
535.87531,0.65588
536.10156,0.65616
536.32782,0.65684
536.55414,0.65832
536.78046,0.6594
537.00677,0.65812
