wavelength (nm),W halogen lamp (W*m-2*nm-1)
1151,0.746879758
1152,0.744964765
1153,0.742452487
1154,0.739143411
1155,0.735420862
1156,0.732560273
1157,0.731559794
1158,0.731544276
1159,0.731065989
1160,0.729898943
1161,0.729125037
1162,0.729408396
1163,0.72971862
1164,0.728779785
1165,0.727125705
1166,0.726635822
1167,0.728081193
1168,0.729548027
1169,0.729040134
1170,0.72720365
1171,0.726025301
1172,0.726174193
1173,0.726179142
1174,0.724724924
1175,0.722453146
1176,0.720647034
1177,0.719509853
1178,0.718042176
1179,0.715544878
1180,0.712650826
1181,0.710219086
1182,0.707926126
1183,0.704540436
1184,0.69957933
1185,0.694435279
1186,0.690566808
1187,0.687521237
1188,0.68385156
1189,0.679109777
1190,0.674502358
1191,0.671063507
1192,0.667976244
1193,0.663829008
1194,0.65887968
1195,0.65526447
1196,0.654303996
1197,0.65394121
1198,0.651543589
1199,0.647531357
1200,0.644676747
