,lon,lat,distance,ro_wind,ro_radiation
11152,6.9,55.2,527.8314625780193,0.5440550683503933,0.8553588250936983
11153,6.9,55.5,546.253607252851,0.5306380239217106,0.8545849656436604
11154,6.9,55.8,566.0463060530413,0.5114664205153859,0.8519950428688221
11155,6.9,56.1,587.071229299308,0.48730323402081965,0.849483812640384
11156,6.9,56.4,609.2010738639592,0.4690286563137509,0.8448653484016149
11157,6.9,56.7,632.3200936876771,0.4519819701158687,0.8396643447525041
11158,6.9,57.0,656.3240080488488,0.4290538584475471,0.8326258202077452
11159,6.9,57.3,681.1194990941311,0.39993752837618335,0.8266045738951886
11160,6.9,57.6,706.6234639868362,0.3652061449762823,0.8236323149114445
11161,6.9,57.9,732.7621429675692,0.33615481965405464,0.8178645042293299
11162,6.9,58.2,759.4702073438666,0.3200318631550944,0.809537276394844
11163,6.9,58.5,786.6898622517976,0.30178941960103384,0.7927226329604868
11164,6.9,58.8,814.3699974753935,0.282313733904784,0.7964620020283273
11165,6.9,59.1,842.4654044168127,0.24681565814511108,0.8079259718284975
11166,6.9,59.4,870.936067060698,0.20282405319948352,0.8120138595864826
11167,6.9,59.7,899.7465281744188,0.1730488109873744,0.8140908523178607
11168,6.9,60.0,928.8653279688733,0.16001098045077586,0.8121143743217933
11169,6.9,60.3,958.2645101964131,0.16141464885334236,0.8162097709322447
11170,6.9,60.6,987.9191895846043,0.1586180396095232,0.8124362360321048
11171,6.9,60.9,1017.8071741726,0.13762280835282212,0.8098131666557122
11172,6.9,61.2,1047.9086362389435,0.12012091584627775,0.8043369928950275
11173,6.9,61.5,1078.2058258895074,0.08695272782523214,0.8065596130281846
11174,6.9,61.8,1108.6828218842722,0.06502604270801311,0.8144738987904911
11175,6.9,62.1,1139.3253148408005,0.08389290613267399,0.8104054838647654
11176,6.9,62.4,1170.12041851114,0.07702015292569886,0.8080014501262309
11177,6.9,62.7,1201.0565053595046,0.030572408400779287,0.7955146550740809
11178,6.9,63.0,1232.1230631553997,0.004242248018750655,0.7992879837841459
11179,6.9,63.3,1263.310569735059,0.006821830518117256,0.8073474648312309
11180,6.9,63.6,1294.6103834719634,0.009010971921557353,0.8085012172526242
